BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
557343,MASTERCARD,CREDIT,PLATINUM,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557497,MASTERCARD,CREDIT,PLATINUM,BANCO DE LA PROVINCIA DE BUENOS AIRES,+541143470000,http://www.bapro.com.ar,AR,ARG,ARGENTINA
557575,MASTERCARD,DEBIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
557648,MASTERCARD,DEBIT,PLATINUM,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557717,MASTERCARD,CREDIT,STANDARD,"WILOBANK, S.A.",,,AR,ARG,ARGENTINA
557911,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557935,MASTERCARD,CREDIT,CENTRAL TRAVEL SOLUTIONS AIR,"CENCOSUD, S.A.",,,AR,ARG,ARGENTINA
557939,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557958,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557961,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557970,MASTERCARD,CREDIT,STANDARD,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA), S.A.",,,AR,ARG,ARGENTINA
557978,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
557994,MASTERCARD,CREDIT,GOLD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
558140,MASTERCARD,CREDIT,BLACK,"BANCO COMAFI, S.A.",,http://www.bancocolumbia.com.ar,AR,ARG,ARGENTINA
558353,MASTERCARD,CREDIT,BUSINESS,BBVA BANCO FRANCES,,,AR,ARG,ARGENTINA
558369,MASTERCARD,CREDIT,BUSINESS,BANCO DE LA NACION ARGENTINA,+548106664444,http://www.bna.com.ar,AR,ARG,ARGENTINA
558418,MASTERCARD,DEBIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
558495,MASTERCARD,DEBIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
558642,MASTERCARD,CREDIT,BUSINESS,"BANCO PATAGONIA, S.A.",,http://www.bancopatagonia.com,AR,ARG,ARGENTINA
558706,MASTERCARD,CREDIT,GOLD,"BANCO DEL SOL, S.A.",,,AR,ARG,ARGENTINA
558777,MASTERCARD,DEBIT,PREPAID BUSINESS,EDENRED ARGENTINA SA,,,AR,ARG,ARGENTINA
558838,MASTERCARD,CREDIT,BUSINESS,"NUEVO BANCO DE ENTRE RIOS, S.A.",+543434201200,http://www.nuevobersa.com.ar,AR,ARG,ARGENTINA
558891,MASTERCARD,CREDIT,EXECUTIVE BUSINESS,"BANCO MACRO, S.A.",+548105552355,http://www.macro.com.ar,AR,ARG,ARGENTINA
558905,MASTERCARD,DEBIT,PREPAID,SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS LTDA,,,AR,ARG,ARGENTINA
558934,MASTERCARD,DEBIT,PREPAID,"FIDEN, S.A.",,,AR,ARG,ARGENTINA
558940,MASTERCARD,CREDIT,CORPORATE EXECUTIVE,BANCO DE LA PAMPA,+548102222257,http://www.blp.com.ar,AR,ARG,ARGENTINA
559137,MASTERCARD,DEBIT,PREPAID,"CENCOSUD, S.A.",,,AR,ARG,ARGENTINA
559198,MASTERCARD,CREDIT,STANDARD,"CENCOSUD, S.A.",,,AR,ARG,ARGENTINA
559219,MASTERCARD,DEBIT,PREPAID,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559232,MASTERCARD,CREDIT,WORLD BUSINESS,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559442,MASTERCARD,DEBIT,STANDARD,"RED LINK, S.A.",,,AR,ARG,ARGENTINA
559524,MASTERCARD,CREDIT,STANDARD,"WILOBANK, S.A.",,,AR,ARG,ARGENTINA
559783,MASTERCARD,CREDIT,GOLD,"TRANSATLANTICA COMPANIA FINANCIERA, S.A.",,,AR,ARG,ARGENTINA
559798,MASTERCARD,CREDIT,BLACK,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559799,MASTERCARD,CREDIT,BLACK,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559802,MASTERCARD,CREDIT,BLACK,"BANCO PROVINCIA NEUQUEN, S.A.",,,AR,ARG,ARGENTINA
559803,MASTERCARD,CREDIT,BLACK,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559902,MASTERCARD,CREDIT,STANDARD,BANCO DE LA PAMPA,+548102222257,http://www.blp.com.ar,AR,ARG,ARGENTINA
559932,MASTERCARD,CREDIT,PLATINUM,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559936,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559945,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559965,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559975,MASTERCARD,CREDIT,GOLD,"GLOBAL PROCESSING, S.A.",,,AR,ARG,ARGENTINA
559982,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559993,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
559997,MASTERCARD,CREDIT,STANDARD,"FIRST DATA CONO SUR, S.R.L.",+541143405900,https://www1.firstdata.com.ar,AR,ARG,ARGENTINA
560014,MAESTRO,DEBIT,STANDARD,BANCO DE LA PROVINCIE DE BUENOS AIRES,,,AR,ARG,ARGENTINA
560565,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
561033,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
565333,TARJETA NARANJA,DEBIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
569562,TARJETA NARANJA,DEBIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
572402,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
572610,MAESTRO,DEBIT,STANDARD,MAESTRO INTERNATIONAL,,https://brand.mastercard.com,AR,ARG,ARGENTINA
572626,MAESTRO,DEBIT,STANDARD,MAESTRO INTERNATIONAL,,https://brand.mastercard.com,AR,ARG,ARGENTINA
576328,LOCAL BRAND,CREDIT,,SANTANDER RIO,,,AR,ARG,ARGENTINA
576904,MAESTRO,DEBIT,STANDARD,MAESTRO INTERNATIONAL,,https://brand.mastercard.com,AR,ARG,ARGENTINA
578614,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
584562,TARJETA NARANJA,DEBIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
585697,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
586509,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
588729,LOCAL BRAND,DEBIT,PERSONAL,BANCO CIUDAD,,,AR,ARG,ARGENTINA
588792,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
589244,MAESTRO,DEBIT,,,,,AR,ARG,ARGENTINA
589262,TARJETA NARANJA,DEBIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
589407,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
589471,MAESTRO,DEBIT,,,,,AR,ARG,ARGENTINA
589562,TARJETA NARANJA,CREDIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
589605,MAESTRO,DEBIT,,,,,AR,ARG,ARGENTINA
589647,MAESTRO,DEBIT,,,,,AR,ARG,ARGENTINA
589656,TARJETA NARANJA,DEBIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
589657,CABAL,CREDIT,GOLD,BANCO CREDICOOP,,,AR,ARG,ARGENTINA
589662,TARJETA NARANJA,DEBIT,,TARJETA NARANJA,810333,http://www.tarjetanaranja.com,AR,ARG,ARGENTINA
590043,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590206,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590263,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590265,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590278,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590361,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590362,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590379,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590393,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
590590,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591235,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591420,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591481,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591620,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591770,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591948,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
591994,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592024,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592161,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592184,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592186,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592201,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592384,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592393,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592528,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592566,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592704,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592735,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592879,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
592884,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
593074,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
593264,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
593272,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
593355,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
593496,MAESTRO,DEBIT,STANDARD,,,,AR,ARG,ARGENTINA
